id,total_count,total_length,total_density,count_trunk,count_residential,count_tertiary,count_intersection,count_service,count_track,count_living_street,count_primary,count_secondary,count_pedestrian,length_trunk,length_residential,length_tertiary,length_intersection,length_service,length_track,length_living_street,length_primary,length_secondary,length_pedestrian,density_trunk,density_residential,density_tertiary,density_intersection,density_service,density_track,density_living_street,density_primary,density_secondary,density_pedestrian
UGA_2016_80,7.0,15554.51,347.32,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,1283.93,0.0,0.0,7349.46,2208.38,0,0.0,0.0,0.0,0,28.67,0.0,0.0,164.11,49.31,0
UGA_2016_81,5.0,10575.56,236.16,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.86,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_82,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_83,2.0,8288.1,185.11,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7507.91,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,167.68,0.0,0
UGA_2016_84,6.0,27258.76,608.82,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7241.12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,161.73,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_85,10.0,23439.12,523.54,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,5609.77,0,0.0,0.0,0.0,0.0,6384.94,0,0.0,0.0,125.3,0,0.0,0.0,0.0,0.0,142.62,0
UGA_2016_86,5.0,12950.01,289.26,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7267.09,2361.16,0,0.0,0.0,0.0,0,0.0,0.0,0.0,162.32,52.74,0
UGA_2016_87,7.0,3764.27,84.09,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,479.03,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,10.7,0.0,0.0,0.0,0
UGA_2016_88,3.0,11946.12,266.95,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8867.86,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,198.16,0
UGA_2016_89,3.0,9991.11,223.3,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9767.05,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,218.29,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_9,273.0,128887.88,2873.66,0.0,86.0,8.0,0,29.0,120.0,0.0,1.0,2.0,0,0.0,55114.08,21764.63,0,3684.07,30341.96,0.0,7265.64,6813.43,0,0.0,1228.82,485.26,0,82.14,676.5,0.0,161.99,151.91,0
UGA_2016_90,3.0,15827.98,353.78,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6792.44,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,151.82,0
UGA_2016_91,8.0,21122.79,472.17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6877.99,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,153.75,0
UGA_2016_92,6.0,12449.04,278.29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6670.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,149.11,0
UGA_2016_93,6.0,13602.95,304.09,0.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,213.99,0,6175.85,0.0,0.0,0.0,0.0,0,0.0,0.0,4.78,0,138.06,0.0,0.0,0.0,0.0,0
UGA_2016_94,1.0,3017.93,67.48,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3017.93,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,67.48,0
UGA_2016_95,3.0,7131.1,159.48,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,24.6,0,0.0,0.0,0.0,0.0,7106.5,0,0.0,0.0,0.55,0,0.0,0.0,0.0,0.0,158.93,0
UGA_2016_96,29.0,47037.5,1051.96,0.0,1.0,6.0,0,0.0,1.0,0.0,1.0,5.0,0,0.0,233.13,6684.95,0,0.0,960.94,0.0,9881.92,10799.16,0,0.0,5.21,149.5,0,0.0,21.49,0.0,221.0,241.52,0
UGA_2016_97,5.0,15714.74,351.59,0.0,0.0,1.0,0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,6713.97,0,0.0,2236.33,0.0,6198.44,0.0,0,0.0,0.0,150.21,0,0.0,50.03,0.0,138.68,0.0,0
UGA_2016_98,22.0,30604.21,684.78,0.0,5.0,1.0,0,0.0,3.0,0.0,0.0,2.0,0,0.0,1350.06,6240.64,0,0.0,2010.8,0.0,0.0,12312.95,0,0.0,30.21,139.64,0,0.0,44.99,0.0,0.0,275.51,0
UGA_2016_99,1.0,2213.72,49.54,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2213.72,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.54,0
