cafe,hospital,clothes,museum,comms_tower,waste_basket,recycling,camera_surveillance,courthouse,swimming_pool,university,doctors,bench,car_dealership,bicycle_shop,post_office,graveyard,car_wash,public_building,atm,sports_shop,shoe_shop,sports_centre,prison,community_centre,computer_shop,mall,hotel,pub,doityourself,drinking_water,embassy,fire_station,hairdresser,cinema,artwork,nightclub,chemist,memorial,water_well,school,optician,florist,travel_agent,outdoor_shop,pitch,post_box,pharmacy,beverages,supermarket,shelter,viewpoint,camp_site,car_rental,guesthouse,toy_shop,gift_shop,department_store,greengrocer,food_court,monument,fountain,fast_food,stadium,bookshop,water_works,kiosk,convenience,bakery,kindergarten,chalet,bar,restaurant,tower,furniture_shop,college,jeweller,beauty_shop,theatre,mobile_phone_shop,hostel,motel,dentist,track,playground,tourist_info,police,picnic_site,veterinary,bank,others,stationery,butcher,park,toilet,library,telephone,laundry,attraction,town_hall,water_tower,id
4.0,10.0,0,0,0,1.0,3.0,0,2.0,0,4.0,9.0,5.0,0,0,4.0,0,5.0,7.0,6.0,0,0,0,1.0,9.0,0,0,0,2.0,0,1.0,17.0,2.0,0,3.0,0,5.0,0,0,0,120.0,0,0,0,0,0,0,40.0,0,0,0.0,0,0,2.0,0,0,0,0,0,4.0,0,1.0,8.0,0,0,0,0,0,0,1.0,0,7.0,56.0,1.0,0,12.0,0,0,0.0,0,0,0,0.0,0,0,0,26.0,0,0.0,50.0,0,0,0,0,0,4.0,1.0,0,0,0,0,MLI_2019_126
4.0,11.0,0,0,0,1.0,3.0,0,3.0,0,4.0,10.0,4.0,0,0,4.0,0,4.0,9.0,4.0,0,0,0,0.0,6.0,0,0,0,2.0,0,1.0,15.0,0.0,0,3.0,0,5.0,0,0,0,193.0,0,0,0,0,0,0,37.0,0,0,0.0,0,0,1.0,0,0,0,0,0,2.0,0,0.0,8.0,0,0,0,0,0,0,2.0,0,8.0,54.0,0.0,0,10.0,0,0,0.0,0,0,0,0.0,0,0,0,12.0,0,0.0,42.0,0,0,0,0,0,2.0,1.0,0,0,0,0,MLI_2019_127
3.0,8.0,0,0,0,0.0,2.0,0,1.0,0,0.0,9.0,0.0,0,0,1.0,0,5.0,5.0,2.0,0,0,0,0.0,4.0,0,0,0,2.0,0,1.0,9.0,0.0,0,2.0,0,5.0,0,0,0,235.0,0,0,0,0,0,0,31.0,0,0,1.0,0,0,2.0,0,0,0,0,0,1.0,0,0.0,6.0,0,0,0,0,0,0,3.0,0,8.0,33.0,0.0,0,6.0,0,0,0.0,0,0,0,0.0,0,0,0,7.0,0,0.0,33.0,0,0,0,0,0,1.0,0.0,0,0,0,0,MLI_2019_128
1.0,3.0,0,0,0,0.0,0.0,0,2.0,0,0.0,4.0,0.0,0,0,0.0,0,3.0,5.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,2.0,0,2.0,0,0,0,182.0,0,0,0,0,0,0,13.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,3.0,0,7.0,6.0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,6.0,0,0.0,10.0,0,0,0,0,0,0.0,1.0,0,0,0,0,MLI_2019_129
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_13
1.0,2.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,0.0,0,0,0.0,0,2.0,4.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,2.0,0,2.0,0,0,0,170.0,0,0,0,0,0,0,11.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,0,7.0,6.0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,5.0,0,0.0,8.0,0,0,0,0,0,0.0,1.0,0,0,0,0,MLI_2019_130
2.0,7.0,0,0,0,0.0,0.0,0,1.0,0,0.0,6.0,0.0,0,0,0.0,0,6.0,7.0,1.0,0,0,0,0.0,4.0,0,0,0,2.0,0,1.0,7.0,1.0,0,2.0,0,5.0,0,0,0,254.0,0,0,0,0,0,0,29.0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0.0,5.0,0,0,0,0,0,0,3.0,0,11.0,29.0,0.0,0,6.0,0,0,0.0,0,0,0,0.0,0,0,0,7.0,0,0.0,20.0,0,0,0,0,0,1.0,1.0,0,0,0,0,MLI_2019_131
1.0,1.0,0,0,0,0.0,0.0,0,2.0,0,0.0,1.0,0.0,0,0,0.0,0,2.0,4.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,2.0,0,1.0,0,0,0,155.0,0,0,0,0,0,0,9.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,2.0,0,7.0,2.0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,5.0,0,0.0,7.0,0,0,0,0,0,0.0,1.0,0,0,0,0,MLI_2019_132
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_133
1.0,6.0,0,0,0,0.0,0.0,0,2.0,0,0.0,6.0,0.0,0,0,0.0,0,2.0,4.0,0.0,0,0,0,0.0,3.0,0,0,0,0.0,0,0.0,6.0,0.0,0,2.0,0,2.0,0,0,0,263.0,0,0,0,0,0,0,23.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,3.0,0,7.0,15.0,0.0,0,3.0,0,0,0.0,0,0,0,0.0,0,0,0,6.0,0,0.0,9.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_134
