id,total_count,total_length,total_density,count_tertiary,count_trunk,count_residential,count_pedestrian,count_intersection,count_secondary,count_living_street,count_track,count_service,count_primary,length_tertiary,length_trunk,length_residential,length_pedestrian,length_intersection,length_secondary,length_living_street,length_track,length_service,length_primary,density_tertiary,density_trunk,density_residential,density_pedestrian,density_intersection,density_secondary,density_living_street,density_track,density_service,density_primary
MLI_2019_36,463.0,205835.9,4773.46,6.0,2.0,428.0,0.0,0,0.0,0.0,0.0,5.0,2.0,9821.09,5678.66,168768.55,0.0,0,0.0,0.0,0.0,1255.85,6945.78,227.76,131.69,3913.84,0.0,0,0.0,0.0,0.0,29.12,161.08
MLI_2019_360,11.0,20474.8,488.92,0.0,0.0,3.0,0.0,0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2079.1,0.0,0,6861.5,0.0,6637.92,0.0,0.0,0.0,0.0,49.65,0.0,0,163.85,0.0,158.51,0.0,0.0
MLI_2019_361,9.0,12938.3,309.01,2.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7208.63,0.0,1936.05,0.0,0,0.0,0.0,0.0,0.0,0.0,172.17,0.0,46.24,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_362,4.0,8178.54,195.37,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,408.94,0.0,6640.85,0.0,0.0,0.0,0.0,0,0.0,0.0,9.77,0.0,158.64
MLI_2019_363,51.0,22566.65,539.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_364,143.0,86647.86,2070.96,0.0,0.0,119.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,53832.75,0.0,0,3846.17,0.0,2097.88,0.0,0.0,0.0,0.0,1286.65,0.0,0,91.93,0.0,50.14,0.0,0.0
MLI_2019_365,68.0,70205.05,1678.04,0.0,0.0,28.0,0.0,0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,7181.78,0.0,0,0.0,0.0,44879.64,0.0,7434.35,0.0,0.0,171.66,0.0,0,0.0,0.0,1072.71,0.0,177.7
MLI_2019_366,226.0,143858.59,3439.68,6.0,0.0,184.0,0.0,0,2.0,0.0,6.0,0.0,1.0,10806.61,0.0,67905.91,0.0,0,4204.31,0.0,9141.47,0.0,3465.77,258.39,0.0,1623.64,0.0,0,100.53,0.0,218.57,0.0,82.87
MLI_2019_367,30.0,32040.73,766.17,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32040.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,766.17,0.0,0.0
MLI_2019_368,5.0,16160.1,386.57,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
