pub,college,veterinary,jeweller,laundry,police,telephone,park,swimming_pool,water_well,convenience,embassy,attraction,department_store,beauty_shop,gift_shop,hotel,camera_surveillance,butcher,school,community_centre,library,graveyard,shelter,hairdresser,optician,water_tower,theatre,car_wash,mobile_phone_shop,track,tower,sports_centre,bookshop,picnic_site,bicycle_shop,tourist_info,doctors,bench,town_hall,greengrocer,memorial,monument,artwork,camp_site,courthouse,water_works,public_building,cinema,food_court,fire_station,comms_tower,furniture_shop,stationery,mall,pharmacy,restaurant,playground,prison,bar,chemist,drinking_water,motel,museum,hostel,shoe_shop,toy_shop,recycling,pitch,supermarket,toilet,cafe,fast_food,chalet,atm,post_office,university,others,bakery,kindergarten,car_rental,guesthouse,waste_basket,post_box,nightclub,dentist,kiosk,doityourself,car_dealership,viewpoint,fountain,outdoor_shop,clothes,stadium,computer_shop,bank,florist,beverages,travel_agent,sports_shop,hospital,id
2.0,8.0,0.0,0,0,11.0,1.0,0,1.0,0,0,20.0,0,0,0,0,0,0,0,170.0,6.0,1.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,7.0,4.0,0,0,0,0,0,0,0.0,0,10.0,3.0,0.0,0.0,0,0,0,0,34.0,46.0,0,0.0,7.0,0,0.0,0,0,0,0,0,2.0,0,0,0,3.0,8.0,0,2.0,4.0,3.0,0,0,2.0,0.0,0,1.0,0,5.0,0.0,0,0,0,0,0.0,0,0,0,0,37.0,0,0,0,0,16.0,MLI_2018_127
2.0,4.0,0.0,0,0,7.0,0.0,0,0.0,0,0,10.0,0,0,0,0,0,0,0,206.0,4.0,0.0,0,1.0,0,0,0,0.0,4.0,0,0,0.0,0,0,0,0,0,7.0,0.0,0,0,0,0,0,0,0.0,0,5.0,2.0,0.0,0.0,0,0,0,0,28.0,28.0,0,0.0,7.0,0,0.0,0,0,0,0,0,1.0,0,0,0,3.0,6.0,0,2.0,1.0,0.0,0,0,3.0,1.0,0,0.0,0,5.0,0.0,0,0,0,0,0.0,0,0,0,0,30.0,0,0,0,0,13.0,MLI_2018_128
0.0,1.0,0.0,0,0,6.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,164.0,0.0,0.0,0,1.0,0,0,0,0.0,2.0,0,0,0.0,0,0,0,0,0,3.0,0.0,0,0,0,0,0,0,1.0,0,5.0,2.0,0.0,1.0,0,0,0,0,12.0,5.0,0,0.0,5.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,3.0,1.0,0,0.0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,9.0,0,0,0,0,6.0,MLI_2018_129
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_13
0.0,1.0,0.0,0,0,5.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,154.0,0.0,0.0,0,1.0,0,0,0,0.0,2.0,0,0,0.0,0,0,0,0,0,2.0,0.0,0,0,0,0,0,0,1.0,0,4.0,2.0,0.0,1.0,0,0,0,0,11.0,5.0,0,0.0,5.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,3.0,1.0,0,0.0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,7.0,0,0,0,0,4.0,MLI_2018_130
2.0,4.0,0.0,0,0,7.0,1.0,0,0.0,0,0,8.0,0,0,0,0,0,0,0,230.0,4.0,0.0,0,1.0,0,0,0,0.0,5.0,0,0,0.0,0,0,0,0,0,5.0,0.0,0,0,0,0,0,0,0.0,0,7.0,2.0,0.0,1.0,0,0,0,0,27.0,25.0,0,0.0,9.0,0,0.0,0,0,0,0,0,0.0,0,0,0,2.0,5.0,0,1.0,0.0,0.0,0,0,3.0,1.0,0,0.0,0,5.0,0.0,0,0,0,0,0.0,0,0,0,0,18.0,0,0,0,0,11.0,MLI_2018_131
0.0,1.0,0.0,0,0,5.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,136.0,0.0,0.0,0,1.0,0,0,0,0.0,2.0,0,0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,0,1.0,0,4.0,2.0,0.0,1.0,0,0,0,0,9.0,1.0,0,0.0,5.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,2.0,1.0,0,0.0,0,1.0,0.0,0,0,0,0,0.0,0,0,0,0,6.0,0,0,0,0,3.0,MLI_2018_132
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_133
0.0,3.0,0.0,0,0,6.0,0.0,0,0.0,0,0,7.0,0,0,0,0,0,0,0,242.0,3.0,0.0,0,1.0,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,0,5.0,0.0,0,0,0,0,0,0,1.0,0,4.0,2.0,0.0,0.0,0,0,0,0,22.0,14.0,0,0.0,6.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,3.0,1.0,0,0.0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,8.0,0,0,0,0,10.0,MLI_2018_134
0.0,2.0,0.0,0,0,6.0,0.0,0,0.0,0,0,7.0,0,0,0,0,0,0,0,228.0,3.0,0.0,0,1.0,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,0,3.0,0.0,0,0,0,0,0,0,1.0,0,4.0,2.0,0.0,0.0,0,0,0,0,18.0,7.0,0,0.0,5.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,3.0,1.0,0,0.0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,6.0,0,0,0,0,8.0,MLI_2018_135
